Country Name,Region,World Rank,Region Rank,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),2019 Score
Mali,Sub-Saharan Africa,103,12,33.7,33.4,29.6,68.7,85.4,84.2,53.8,52.2,81.6,69.8,65,40,7.6,40,35,17.6,22.1,18.9,41,5.3,5.3,2170,7.9,1.8,265.6,35.6,58.1
Malta,Europe,41,20,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86,85,60,2,35,35,33.6,38.3,0.5,19.3,6.6,6.9,41945,4,1.3,3185.2,52.6,68.6
Mauritania,Sub-Saharan Africa,119,18,27.5,30.6,30.6,78,74.2,80.6,61.9,51.5,81.2,62.6,50,40,8.7,30,25,25.9,29.3,3.9,17.3,3.2,3.5,4444,9.9,2.3,329.6,91.1,55.7
Mauritius,Sub-Saharan Africa,25,1,69.5,62.1,40.3,92.1,80.3,73.6,79.8,60.8,79.4,88.4,80,70,0.8,15,15,18.4,25.6,1.3,27.5,3.9,3.6,21640,7.1,3.7,292.7,60.2,73
Mexico,Americas,66,12,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75,60,4.3,35,30,17.2,26.9,123.5,2458.4,2,2.5,19903,3.4,6,29695,54.2,64.7
Micronesia,Asia-Pacific,149,38,7.6,26.6,36.6,92.8,0,98.8,57.4,71.9,85.8,80.6,35,30,2.2,10,21,13.2,59.2,0.1,0.3,2,0.7,3393,5,0.5,213,24.5,51.9
Moldova,Europe,97,40,55.2,29.6,25.4,85.4,59.1,92,67,39,73.5,78,55,50,3.5,18,12,31.5,36.9,3.5,20.1,4,4.4,5661,4.5,6.6,213.8,37.7,59.1
Mongolia,Asia-Pacific,126,29,48.2,23.8,29.8,88.5,63.1,6.2,66,75,77.8,75.8,50,60,4.6,10,25,20.7,35.1,3.1,39.7,5.1,5.7,12979,7,4.6,1494.4,91.4,55.4
Montenegro,Europe,92,39,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50,2.6,9,9,36.1,47.4,0.6,11,4.2,3.2,17736,16.1,2.4,545.9,67.5,60.5
Morocco,Middle East and North Africa,75,6,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65,70,3.8,38,30,20.9,30.2,34.9,298.6,4.2,3.4,8567,9.3,0.8,2651.4,64.4,62.9
Mozambique,Sub-Saharan Africa,163,40,33.9,35.2,28.1,75.5,66.9,16.6,57.1,42,65.4,78,35,50,3.5,32,32,20.2,33.2,29.5,36.7,3,5.6,1244,25,15.3,2293.1,102.2,48.6
Namibia,Sub-Saharan Africa,99,10,55.9,54.7,49.8,66.5,48.9,15.7,65.8,85.1,74.4,83,65,40,1,37,34,28.6,41.3,2.3,26.5,-1.2,3.6,11312,23.3,6.1,416,46.1,58.7
Nepal,Asia-Pacific,136,34,39.2,34.7,26.2,84,83.7,98.5,61.8,47.9,69.4,60.4,10,30,12.3,25,25,18.7,23.3,29.3,78.6,7.5,4.3,2679,2.7,4.5,198,27.2,53.8
Netherlands,Europe,13,5,88,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84,86,90,80,2,52,25,38.8,43.6,17.1,916.1,3.1,1.8,53635,4.8,1.3,57956.7,56.7,76.8
New Zealand,Asia-Pacific,3,3,95,83.5,96.7,71,50.4,98.6,91,86.7,87.5,92.4,80,80,1.3,33,28,32.1,40.7,4.8,188.6,3,3.3,38934,4.9,1.9,3572,26.4,84.4
Nicaragua,Americas,107,21,33.4,18.7,20.3,76.9,79.1,93.9,56,55.8,72.7,76,60,50,2,30,30,22.6,26.4,6.2,36.4,4.9,4.8,5849,4.4,3.9,896.6,33.6,57.7
Niger,Sub-Saharan Africa,151,31,37.2,31,34.1,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55,40,9.6,35,30,13.5,28.5,18.8,21.8,5.2,5.4,1164,0.4,2.4,334.3,46.5,51.6
Nigeria,Sub-Saharan Africa,111,14,36.5,34.3,20.5,85,96.5,68.2,51.2,83.3,65,62.4,45,40,11.3,24,30,5.2,10.8,188.7,1118.8,0.8,2.7,5929,7,16.5,3503,23.4,57.3
